"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1672","Categories is visible in the header","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfCategoriesIsVisible"
"","3236","Check that a product can be added to a shopping cart and success message is shown Run 2: qtyToAdd = 3","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testAddToCart"
"","10661","Verify that after product is deleted, list of products in the cart is updated","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutCartPageTest","org.example.tools.tests.CheckoutCartPageTest","cart_updatesList_afterProductDeletion"
"","2290","Check number of products on Home page","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","homePage_shouldShowAllProductsFromApi"
"","2165","Logging with registered user","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.LoginTest","org.example.tools.tests.LoginTest","testLoginWithRegisteredUser"
"","0","add_shouldReturnFour()","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.TestTest","org.example.tools.tests.TestTest","add_shouldReturnFour"
"","4737","Check sorting of products by price from Low to High","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByPriceLowToHigh_shouldOrderProductsByAscendingPrice"
"","3630","Check that a product can be added to a shopping cart and success message is shown Run 3: qtyToAdd = 5","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testAddToCart"
"","1685","Contact is visible in the header","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfContactIsVisible"
"","2472","Contact form can be submitted successfully","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ContactTest","org.example.tools.tests.ContactTest","testSuccessfulContactFormSubmission"
"","48239","Verify total price per cart","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutCartPageTest","org.example.tools.tests.CheckoutCartPageTest","cartTotal_matchesSumOfItems"
"","2727","Profile displays current user info","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ProfileDisplayTest","org.example.tools.tests.ProfileDisplayTest","profile_displaysCurrentUserInfo"
"","1768","Check Home page title","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","homePageTitle_shouldMatchExpected"
"","4662","Check sorting of products by price from High to Low","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByPriceHighToLow_shouldOrderProductsByDescendingPrice"
"","1707","Home is visible in the header","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HeaderTest","org.example.tools.tests.HeaderTest","testIfHomeIsVisible"
"","4807","Check sorting of products by alphabet A-Z","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","sortingByNameAZ_shouldOrderProductsAlphabetically"
"","40425","Verify products in the cart and their subtotal","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.CheckoutCartPageTest","org.example.tools.tests.CheckoutCartPageTest","cart_contains_products_with_correct_subtotals"
"","13309","Check redirection to checkout","","2026-09-11","broken","2026-09-11","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testRedirectionToCheckout"
"","2847","Check that a product can be added to a shopping cart and success message is shown Run 1: qtyToAdd = 1","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.ProductPageTest","org.example.tools.tests.ProductPageTest","testAddToCart"
"","4099","Check name, image and price of cards","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.HomeTest","org.example.tools.tests.HomeTest","productCards_shouldHaveNameImageAndPrice"
"","4683","Customer registration with valid data","","2026-09-11","passed","2026-09-11","","org.example.tools.tests.RegistrationTest","org.example.tools.tests.RegistrationTest","testUserRegistration"
